Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
121 Farmington Ave.,,Bristol,CT,,41.684828,-72.939176,Hartford County,2019,874,0.958,0.915,0,0,0.02,0,0,0.065,0,1,0.042,1,0,0,0,0,0,0,0,0,374,68889,0,0,20,0,0,22,0,35,30,30,83,33,37,19,47,18,153600,0,0,0,0,0,0,0,0,0,0,0,0,0,26,89,101,8,13,13,0,0,9,0,0,0,0
1220 Storrs Road,,Mansfield,CT,6268,41.76182,-72.19446,Tolland County,2019,996,0.872,0.794,0.008,0,0.198,0,0,0,0,0,0.128,0,0,0,0,0,0,1,0,1,361,95114,10,0,9,21,15,14,0,0,13,63,8,38,80,22,25,43,242500,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52,48,50,32,88,14,13,0,0,0,0
855 Washington Street,,Middletown,CT,,41.553169,-72.680523,Middlesex County,2019,2075,0.839,0.794,0.136,0,0.054,0,0,0.016,0,1,0.161,0.832,0,0,0,0,0.153,0.015,0,1,1016,68864,138,11,61,77,58,38,0,10,66,12,80,166,119,98,64,18,212500,0,0,0,0,0,0,0,0,12,0,0,0,23,19,9,21,54,132,54,18,0,0,0,0,0,0
2985 Berlin Turnpike,,Newington,CT,,41.669052,-72.721352,Hartford County,2019,1576,0.885,0.763,0.123,0.029,0.07,0,0,0.015,0,1,0.115,0.845,0,0,0,0,0.155,0,0,0,726,70000,49,0,0,17,16,47,79,14,0,44,137,128,139,27,29,0,210600,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,51,92,135,107,16,0,0,0,0,0,0
300 Oxford Rd,,Oxford,CT,,41.423979,-73.108201,New Haven County,2019,2657,0.979,0.952,0.01,0,0.038,0,0,0,0,0,0.021,1,0,0,0,0,0,0,0,0,1026,109483,16,16,15,16,0,30,36,55,47,68,37,120,126,149,88,207,379400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,31,57,96,284,250,178,0,0,0,0
251 Kennedy Drive,,Putnam,CT,,41.918495,-71.909043,Windham County,2019,589,1,0.968,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,32031,0,35,0,80,17,58,17,0,11,30,16,49,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0
410 Queen Street,,Southington,CT,,41.627713,-72.873747,Hartford County,2019,1748,1,0.877,0.04,0,0.056,0,0,0.027,0,1,0,0,0,0,0,0,0,0,0,0,816,33472,50,102,144,23,38,73,38,59,0,30,42,0,30,83,31,73,178900,0,0,0,0,0,0,0,15,31,29,0,0,0,83,31,0,57,18,28,18,86,0,0,0,0,0
990 Torringford Street,,Torrington,CT,,41.820604,-73.080929,Litchfield County,2019,1510,0.988,0.921,0.018,0,0.007,0,0,0.054,0,1,0.012,1,0,0,0,0,0,0,0,0,631,94514,0,0,0,10,18,7,34,45,9,45,70,128,79,146,33,7,191400,0,0,0,10,0,0,8,0,0,0,0,17,10,35,54,89,97,159,77,17,0,0,0,0,0,0
675 Poquonock Ave.,,Windsor,CT,,41.873659,-72.662683,Hartford County,2019,1434,0.89,0.59,0.356,0,0.029,0,0,0.025,0,1,0.11,0.089,0.291,0,0,0,0.184,0.437,0.101,0.899,497,76850,0,0,26,10,3,9,30,37,20,57,38,134,52,26,22,33,196600,0,0,0,0,0,0,0,0,0,0,0,11,8,33,30,21,82,48,71,44,0,0,0,0,0,0
560 Main Street,,Gardner,MA,,42.569581,-71.985266,Worcester County,2019,2042,0.912,0.909,0.023,0,0.004,0,0,0.064,0.034,0.966,0.088,0.694,0,0,0,0,0.256,0.05,1,0,913,34349,93,74,85,71,42,104,49,15,65,57,76,93,36,36,6,11,157500,4,0,0,0,0,0,0,11,0,0,4,0,0,23,40,25,28,33,4,7,0,0,0,0,0,0
300 Stockbridge Road,,Great Barrington,MA,,42.209684,-73.344612,Berkshire County,2019,1099,0.995,0.951,0.037,0,0,0,0,0.012,0,1,0.005,1,0,0,0,0,0,0,0,0,553,101438,42,17,74,17,24,0,0,21,0,0,18,52,211,20,42,15,299700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,40,144,56,15,122,23,0,0,0
167 W. Main Street,,Hopkinton,MA,,42.209579,-71.551517,Middlesex County,2019,1578,0.933,0.735,0.016,0,0.218,0,0,0.031,0,1,0.067,1,0,0,0,0,0,0,0,0,550,130577,9,0,25,0,0,0,14,10,7,21,50,28,108,80,46,152,450000,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,50,40,23,71,96,195,10,0,0,0
495 Pittsfield Road,,Lenox,MA,,42.405406,-73.267323,Berkshire County,2019,309,0.919,0.915,0.056,0,0,0,0,0.028,0,1,0.081,0.32,0,0,0,0,0.56,0.12,0,1,150,65357,28,0,0,0,15,0,0,16,0,0,28,0,29,0,0,34,246300,0,0,14,0,0,14,0,0,14,0,0,0,0,0,0,0,0,27,0,31,0,16,18,0,0,0
240 East Main Street,,Marlborough,MA,,42.353479,-71.534567,Middlesex County,2019,1659,0.955,0.664,0.162,0,0.165,0,0,0.009,0,1,0.045,0.52,0,0,0,0,0.253,0.227,1,0,654,85741,35,42,0,0,0,0,0,28,0,0,80,229,151,32,29,28,328700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,14,50,89,65,0,0,0,0,0
555 Hubbard Ave.,,Pittsfield,MA,,42.469029,-73.196922,Berkshire County,2019,1053,1,0.964,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,72232,0,0,0,0,25,79,10,15,42,35,14,90,52,49,26,0,177700,0,0,0,0,0,0,0,0,0,0,0,0,18,27,27,130,55,64,54,41,0,0,0,0,0,0
731 Boston Turnpike,,Shrewsbury,MA,,42.278423,-71.696233,Worcester County,2019,1587,1,0.687,0.079,0,0.229,0,0,0.005,0,1,0,0,0,0,0,0,0,0,0,0,542,74808,46,15,0,17,67,33,0,53,0,10,31,28,85,46,18,93,318200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,66,14,12,0,0,0,0
133 Main Street,,Spencer,MA,,42.245389,-71.993637,Worcester County,2019,2007,0.917,0.946,0.022,0,0.007,0,0,0.026,0,1,0.083,1,0,0,0,0,0,0,0,0,682,64954,0,71,14,55,31,45,0,14,0,58,68,113,103,44,32,34,226100,22,0,0,0,0,0,0,0,0,0,0,15,0,8,17,64,35,186,89,57,23,0,0,0,0,0
21 Galaxy Pass,,Sutton,MA,,42.160209,-71.732701,Worcester County,2019,2584,0.986,0.963,0.008,0,0,0.007,0,0.022,0,1,0.014,0.649,0.351,0,0,0,0,0,0,0,807,157092,0,14,0,0,0,0,17,22,15,18,56,124,54,27,139,321,365900,0,0,0,0,0,23,0,0,0,0,22,0,0,0,0,0,13,107,72,232,287,24,0,0,0,0
Worcester Road,,Webster,MA,,42.070831,-71.866428,Worcester County,2019,1167,1,0.992,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,64063,22,0,49,0,25,0,13,45,13,64,88,106,13,25,7,27,232700,0,0,0,0,37,0,0,0,0,0,0,0,0,15,0,65,59,65,108,61,14,0,0,0,0,13
72 Pullman Street,,Worcester,MA,,42.323141,-71.797235,Worcester County,2019,708,0.886,0.917,0,0,0.083,0,0,0,0,0,0.114,1,0,0,0,0,0,0,0,0,343,51354,75,17,18,11,0,16,0,0,28,38,0,56,0,45,39,0,207000,0,0,0,0,0,0,0,0,0,0,0,0,26,26,18,27,0,93,30,0,0,0,0,0,0,0
221-223 Park Ave,,Worcester,MA,,42.270917,-71.814875,Worcester County,2019,1084,0.925,0.741,0.067,0,0.178,0,0,0.014,0.429,0.571,0.075,0.691,0.21,0,0,0,0,0.099,1,0,212,26357,20,35,32,0,63,0,0,0,0,13,0,39,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
564 Southwest Cutoff,,Worcester,MA,,42.213531,-71.798459,Worcester County,2019,1230,0.933,0.74,0.249,0,0.001,0,0,0.01,0,1,0.067,0.585,0,0.183,0,0,0.232,0,0,0,652,35887,53,70,52,48,92,0,90,0,0,19,43,105,50,0,0,30,204700,0,0,0,13,0,0,0,11,0,18,0,0,0,12,11,47,20,149,0,11,0,0,0,0,0,0
29 Sunderland Road,,Worcester,MA,,42.247051,-71.772337,Worcester County,2019,1369,0.935,0.499,0.333,0,0.135,0,0,0.033,0,1,0.065,0.135,0,0,0,0,0.865,0,0,0,492,72143,36,13,48,25,12,11,32,10,0,13,65,33,28,76,43,47,226700,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,48,30,133,10,101,0,0,0,0,0,0
50 Cambridge Street,,Worcester,MA,,42.243022,-71.829963,Worcester County,2019,1423,0.59,0.626,0.118,0,0.232,0,0,0.024,0.2,0.8,0.41,0.771,0.051,0,0,0,0.12,0.058,0.353,0.647,514,40341,120,22,10,57,14,15,16,51,24,46,35,33,29,13,13,16,238900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,45,15,21,0,5,0,0,0,0
16 Ash Brook Road,,Keene,NH,,42.924398,-72.306273,Cheshire County,2019,783,1,0.968,0,0,0,0,0,0.032,0,1,0,0,0,0,0,0,0,0,0,0,425,21989,64,109,22,22,23,56,0,0,0,29,34,40,15,2,9,0,148300,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,18,8,0,0,11,0,0,0,0,0,0
370 Miracle Mile Road,,Lebanon,NH,,43.636747,-72.287203,Grafton County,2019,2047,0.958,0.81,0.064,0,0.114,0,0,0.012,0,1,0.042,0.647,0,0,0,0,0.353,0,0,0,927,57226,89,14,28,55,14,41,97,0,31,99,91,113,92,23,64,76,217300,0,0,0,17,0,0,0,0,0,0,16,0,0,41,0,119,54,71,68,127,30,0,0,0,0,0
10 Lumber Yard Drive,,Lincoln,NH,3251,44.049183,-71.653505,Grafton County,2019,915,0.99,0.974,0,0,0.024,0,0.002,0,0,0,0.01,1,0,0,0,0,0,0,0,0,360,67000,20,33,1,6,23,1,6,7,0,24,71,42,23,20,52,31,240800,0,0,7,10,0,0,0,0,0,0,0,0,5,9,48,18,22,46,40,30,26,37,7,7,0,1
285 Plainfield Road,,West Lebanon,NH,,43.624116,-72.323855,Grafton County,2019,1911,0.95,0.964,0,0,0.036,0,0,0,0,0,0.05,1,0,0,0,0,0,0,0,0,672,90921,54,13,0,0,24,16,13,11,61,42,44,70,46,36,188,54,334900,0,14,0,0,0,0,0,0,0,0,0,0,0,18,17,0,33,85,41,205,72,74,0,0,0,0
911 Central Ave.,,Albany,NY,,42.681587,-73.791467,Albany County,2019,806,0.939,0.777,0.042,0,0.161,0,0.02,0,0,0,0.061,0,0,0,0,0,1,0,0,0,479,39952,50,0,45,28,42,0,75,44,19,20,16,71,52,17,0,0,157900,15,0,0,0,0,0,0,0,0,0,0,0,29,40,25,63,7,79,0,0,0,0,0,0,0,0
1060 Madison Ave.,,Albany,NY,,42.664401,-73.790488,Albany County,2019,1023,0.919,0.667,0.181,0,0.098,0,0,0.054,0.039,0.961,0.081,0.819,0.181,0,0,0,0,0,0,0,522,44808,94,55,25,0,30,27,18,13,23,35,34,60,12,42,12,42,254700,11,0,0,0,0,0,0,0,0,0,0,0,0,9,9,27,0,58,58,21,7,39,0,0,0,0
40 Delaware Ave.,,Albany,NY,,42.650458,-73.76743,Albany County,2019,1094,0.983,0.585,0.157,0.027,0.177,0,0,0.054,0,1,0.017,0,1,0,0,0,0,0,0,0,564,37353,27,35,51,81,18,54,35,18,7,0,75,30,54,31,13,35,104200,52,10,0,0,0,8,0,0,9,0,8,0,0,9,18,9,0,38,7,0,0,9,0,0,0,0
1892 Central Ave.,,Albany,NY,,42.734527,-73.85252,Albany County,2019,1257,0.952,0.86,0.007,0.005,0.109,0,0,0.019,0,1,0.048,0.85,0,0,0,0,0.15,0,0,0,540,74500,4,15,10,36,18,8,35,5,21,49,73,91,40,61,40,34,210100,0,0,0,0,0,0,0,9,0,0,7,4,0,4,46,56,88,119,92,35,16,0,0,0,0,0
475 Shaker Road,,Albany,NY,,42.707578,-73.777893,Albany County,2019,1807,0.956,0.909,0.061,0,0.014,0,0,0.016,0,1,0.044,0,0,0,0,0,0,1,0,1,777,113750,8,0,30,15,0,39,20,48,22,35,94,53,47,83,147,136,275100,11,0,0,0,0,0,0,0,13,0,0,0,0,11,1,24,85,140,182,199,53,9,0,0,9,16
43615 State Route 12,,Alexandria Bay,NY,13607,44.33588,-75.91773,Jefferson County,2019,418,0.988,0.949,0.048,0,0,0,0,0.002,1,0,0.012,1,0,0,0,0,0,0,0,0,229,50972,9,17,6,16,29,0,8,3,23,13,31,33,4,7,26,4,150400,4,0,0,1,0,10,0,3,3,2,7,13,7,23,8,31,0,7,4,7,24,0,2,7,0,0
141 Sanford Farms Shopping Ctr,,Amsterdam,NY,12010,42.906298,-74.229042,Montgomery County,2019,604,0.939,1,0,0,0,0,0,0,0,0,0.061,1,0,0,0,0,0,0,0,0,271,77679,0,5,7,18,5,0,2,3,24,34,20,54,28,36,27,8,169600,4,0,0,0,7,0,0,0,0,3,0,15,17,24,41,14,20,16,27,40,4,12,0,0,0,0
1 Kendall Way,,Ballston Spa,NY,12020,42.971187,-73.792621,Saratoga County,2019,1606,0.96,0.924,0.025,0,0,0,0,0.051,0,1,0.04,1,0,0,0,0,0,0,0,0,666,98333,12,0,0,0,0,0,0,13,43,51,103,117,93,52,105,77,223800,0,0,18,0,0,0,0,0,0,0,0,0,0,0,12,178,49,126,108,131,0,12,0,0,0,0
10 Glenwood Ave.,,Binghamton,NY,,42.107618,-75.935587,Broome County,2019,631,0.984,0.52,0.32,0,0,0,0,0.159,0,1,0.016,1,0,0,0,0,0,0,0,0,272,14444,94,44,43,21,18,21,16,8,7,0,0,0,0,0,0,0,22500,0,10,0,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33 Chenango Bridge Road,,Binghamton,NY,,42.169681,-75.884552,Broome County,2019,937,1,0.812,0.019,0,0.077,0,0.009,0.083,0,1,0,0,0,0,0,0,0,0,0,0,435,56318,26,11,0,27,20,49,17,26,0,59,73,66,8,27,19,7,105900,70,11,0,10,9,0,0,0,6,9,37,11,0,72,55,24,0,18,0,11,0,0,17,0,0,0
111 East Main Street,,Canton,NY,,44.598375,-75.149582,St. Lawrence County,2019,720,1,0.983,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,78500,0,60,15,17,0,0,14,0,0,19,42,65,81,17,0,16,105100,17,0,0,0,0,0,0,0,0,0,0,16,73,47,15,0,12,18,17,16,0,0,0,0,0,0
320 West Bridge Street,,Catskill,NY,,42.215211,-73.887464,Greene County,2019,1266,0.981,0.576,0.268,0.155,0,0,0,0,0,0,0.019,1,0,0,0,0,0,0,0,0,449,18601,35,78,149,0,25,19,43,17,0,16,38,29,0,0,0,0,165800,0,0,0,0,0,0,0,0,16,0,0,0,11,9,18,57,0,57,7,5,0,0,0,0,0,0
860 State Route 11,,Champlain,NY,,44.979321,-73.443317,Clinton County,2019,893,0.989,0.989,0,0.008,0.003,0,0,0,0,0,0.011,1,0,0,0,0,0,0,0,0,383,47750,30,22,19,20,10,19,50,10,16,76,20,53,23,12,3,0,110100,0,0,39,0,3,0,3,0,3,0,12,27,6,36,23,23,12,19,3,3,3,0,0,0,0,0
2614 Route 66,,Chatham,NY,,42.348282,-73.605389,Columbia County,2019,1128,1,0.927,0.06,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,47368,23,0,34,53,18,32,5,72,26,12,85,43,29,39,39,0,126000,14,0,0,49,0,0,14,17,0,30,36,14,16,10,26,26,40,55,10,11,17,4,13,0,0,0
5701 East Circle Dr. Suite 100,,Cicero,NY,,43.150416,-76.120385,Onondaga County,2019,1290,0.938,0.912,0.065,0,0.003,0,0,0.019,0,1,0.062,0.588,0,0,0,0,0.138,0.275,0,1,444,71000,15,5,11,17,31,22,39,23,10,17,35,35,77,69,22,16,156000,0,4,6,0,0,0,0,0,0,5,4,0,28,69,67,87,29,53,45,0,11,0,0,0,0,0
Route 146 & Plank Road,,Clifton Park,NY,12065,42.863831,-73.778258,Saratoga County,2019,2106,1,0.886,0.05,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,83902,0,0,32,7,8,0,13,29,14,81,51,253,135,73,31,72,257400,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,58,148,68,129,122,36,39,7,0,0,0
Route 146 & Route 146A,,Clifton Park,NY,12065,42.850576,-73.792524,Saratoga County,2019,2760,0.932,0.831,0.017,0,0.086,0,0.026,0.04,0,1,0.068,0.332,0.059,0,0,0,0.61,0,0,0,1122,99155,12,0,21,14,43,41,56,27,13,34,109,216,159,124,172,81,266300,0,19,0,0,15,0,0,0,0,0,0,0,0,15,12,12,30,156,260,154,0,14,0,0,0,0
105 Plaza Lane,,Cobleskill,NY,,42.682197,-74.471882,Schoharie County,2019,1269,0.97,0.937,0.017,0.024,0,0,0,0.023,0,1,0.03,0.868,0.026,0,0,0,0.105,0,0,0,642,31650,47,70,56,101,14,54,30,14,8,43,13,142,16,18,0,16,139000,0,0,0,0,0,0,0,0,0,10,0,9,0,49,92,25,27,16,11,0,0,0,0,0,0,0
240 Congress Street,,Cohoes,NY,,42.765264,-73.700699,Albany County,2019,615,1,0.727,0.153,0.008,0.059,0,0,0.054,0,1,0,0,0,0,0,0,0,0,0,0,328,47357,0,16,15,64,0,20,0,16,35,43,24,40,48,7,0,0,113100,0,14,0,0,0,0,0,9,0,0,0,44,0,58,22,14,17,17,0,0,0,0,0,0,0,0
113 Chestnut Street,,Cooperstown,NY,,42.693487,-74.93373,Otsego County,2019,919,0.977,0.807,0.018,0,0.067,0,0,0.108,0.34,0.66,0.023,0.81,0,0.095,0,0,0.095,0,0,0,350,52879,0,5,50,15,51,14,19,2,14,33,5,37,37,24,30,14,252900,16,0,0,0,0,0,0,0,0,2,0,0,15,6,10,0,0,42,60,11,10,17,0,0,0,0
854 State Route 13,,Cortland,NY,,42.570835,-76.21617,Cortland County,2019,1754,0.96,0.973,0.027,0,0,0,0,0,0,0,0.04,1,0,0,0,0,0,0,0,0,676,43091,66,69,76,24,31,16,12,86,34,77,9,45,31,51,13,36,117000,75,0,0,0,16,0,0,0,0,0,75,0,0,55,80,38,13,18,0,37,0,0,0,0,0,0
3 Main Street,,Delhi,NY,,42.268406,-74.922053,Delaware County,2019,512,0.939,0.89,0.069,0,0,0,0,0.042,0,1,0.061,0.806,0.194,0,0,0,0,0,0,0,229,49712,32,19,24,4,3,4,0,0,30,27,7,15,10,32,0,22,175000,0,0,0,0,0,27,0,0,0,0,0,0,0,25,7,20,11,34,12,0,10,8,0,0,0,4
1001 North Street,,Endicott,NY,,42.105492,-76.050647,Broome County,2019,679,0.75,0.743,0.153,0,0.079,0,0,0.026,0,1,0.25,0.3,0,0.024,0,0,0.524,0.153,0,1,262,25000,39,44,15,33,17,9,18,22,0,15,8,24,18,0,0,0,71500,0,0,0,0,0,5,0,10,18,16,40,5,3,0,0,0,0,0,13,0,0,0,0,0,0,0
354 Broadway,,Fort Edward,NY,,43.283872,-73.584629,Washington County,2019,2579,0.993,0.924,0.072,0,0,0,0,0.004,0,1,0.007,0.5,0.222,0,0,0,0.278,0,0,0,976,50288,16,138,65,42,43,28,14,63,76,140,92,116,89,18,19,17,120800,27,0,0,0,0,0,0,48,0,32,47,68,49,80,121,109,45,0,0,0,0,0,49,0,0,0
12 W First St South,,Fulton,NY,,43.323482,-76.424585,Oswego County,2019,932,0.959,1,0,0,0,0,0,0,0,0,0.041,1,0,0,0,0,0,0,0,0,372,78897,7,0,8,0,28,21,16,13,7,8,59,118,51,9,0,27,91200,0,0,0,0,0,0,0,21,11,20,33,13,33,10,0,31,5,27,0,0,0,0,0,0,0,0
329 Glenmont Road,,Glenmont,NY,,42.601904,-73.789877,Albany County,2019,789,1,0.877,0.061,0,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,77330,16,15,0,0,20,14,0,16,0,31,49,113,40,14,18,58,284700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,16,16,60,31,113,16,15,0,0,0,0
358 North Main Street,,Gloversville,NY,,43.062902,-74.338203,Fulton County,2019,658,0.986,0.864,0.011,0,0.114,0.011,0,0,0,0,0.014,1,0,0,0,0,0,0,0,0,304,27500,68,17,7,43,24,15,0,9,33,16,32,23,11,6,0,0,74300,0,0,0,13,0,0,0,0,9,29,61,0,9,11,15,0,0,0,7,0,0,0,0,0,0,0
389 East Main Street,,Gouverneur,NY,,44.339778,-75.45512,St. Lawrence County,2019,507,1,0.992,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,28045,41,25,58,0,39,0,36,0,0,13,0,0,0,0,0,53,75800,0,0,0,0,0,0,0,0,36,15,13,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
8648 State Route 22,,Granville,NY,,43.396391,-73.262852,Washington County,2019,2247,0.979,0.945,0,0.003,0.039,0,0.005,0.008,0,1,0.021,0.404,0.234,0,0,0,0,0.362,0,1,976,41765,28,158,56,40,122,39,33,36,89,62,98,108,63,44,0,0,105800,6,0,0,0,0,0,0,0,0,55,28,117,46,150,50,53,0,36,12,21,0,0,0,0,0,0
Route 20 & Route 155,,Guilderland,NY,12084,42.70452,-73.91151,Albany County,2019,752,0.914,1,0,0,0,0,0,0,0,0,0.086,0,0,0,0,0,1,0,0,0,293,89267,0,17,6,0,0,15,0,18,0,0,18,96,24,60,8,31,197400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,72,49,15,16,6,25,0,0,0,0
1706 Western Ave.,,Guilderland,NY,,42.703614,-73.910032,Albany County,2019,2984,0.953,0.642,0.058,0,0.295,0,0,0.005,0,1,0.047,0.727,0,0,0,0,0.209,0.065,1,0,1232,76848,60,70,0,23,60,24,40,75,43,101,103,156,173,93,71,140,327500,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,6,0,22,58,71,39,35,0,0,0,0
2422 Highway 12B,,Hamilton,NY,,42.843135,-75.555285,Madison County,2019,1755,0.951,0.972,0.001,0.016,0.012,0,0,0,0,0,0.049,1,0,0,0,0,0,0,0,0,747,67361,49,30,20,32,21,72,12,20,0,21,100,111,127,72,41,19,152700,35,19,16,0,0,18,2,0,37,0,26,73,0,77,35,46,13,58,18,94,74,25,0,20,0,0
North Comrie Ave.,,Johnstown,NY,,43.020209,-74.361756,Fulton County,2019,853,0.961,0.951,0,0,0,0,0,0.049,0,1,0.039,1,0,0,0,0,0,0,0,0,349,70063,16,0,47,0,17,9,9,19,10,16,51,77,45,24,0,9,81200,0,0,0,10,0,0,0,17,16,9,87,65,20,31,18,0,20,0,0,0,0,0,0,0,0,0
Amherst Street & Iroquois Street,,Lake George,NY,12845,43.426404,-73.713228,Warren County,2019,1192,0.961,0.96,0.019,0,0,0,0,0.021,0,1,0.039,1,0,0,0,0,0,0,0,0,567,49279,53,31,16,35,22,25,32,40,37,42,55,85,28,30,10,26,220800,5,0,0,0,0,0,0,3,20,0,12,0,0,21,6,25,39,78,36,46,14,11,8,0,0,3
